,UpperCO2[eas]
11837400,894
11838000,894
11838600,894
11839200,894
11839800,894
11840400,894
11841000,894
11841600,894
11842200,894
11842800,894
11843400,894
11844000,894
11844600,894
11845200,894
11845800,894
11846400,894
11847000,894
11847600,894
11848200,894
11848800,894
11849400,894
11850000,894
11850600,894
11851200,894
11851800,894
11852400,894
11853000,894
11853600,894
11854200,894
11854800,894
11855400,894
11856000,894
11856600,894
11857200,894
11857800,894
11858400,894
11859000,894
11859600,894
11860200,894
11860800,894
11861400,894
11862000,894
11862600,894
11863200,894
11863800,894
11864400,894
11865000,894
11865600,894
11866200,894
11866800,894
11867400,894
11868000,894
11868600,894
11869200,894
11869800,894
11870400,894
11871000,894
11871600,894
11872200,894
11872800,894
11873400,894
11874000,894
11874600,894
11875200,894
11875800,894
11876400,894
11877000,894
11877600,894
11878200,894
11878800,894
11879400,894
11880000,894
11880600,894
11881200,894
11881800,894
11882400,894
11883000,894
11883600,894
11884200,894
11884800,894
11885400,894
11886000,894
11886600,894
11887200,894
11887800,894
11888400,894
11889000,894
11889600,894
11890200,894
11890800,894
11891400,894
11892000,894
11892600,894
11893200,894
11893800,894
11894400,894
11895000,894
11895600,894
11896200,894
11896800,894
11897400,894
11898000,894
11898600,894
11899200,894
11899800,894
11900400,894
11901000,894
11901600,894
11902200,894
11902800,894
11903400,894
11904000,894
11904600,894
11905200,894
11905800,894
11906400,894
11907000,894
11907600,894
11908200,894
11908800,894
11909400,894
11910000,894
11910600,894
11911200,894
11911800,894
11912400,894
11913000,894
11913600,894
11914200,894
11914800,894
11915400,894
11916000,894
11916600,894
11917200,894
11917800,894
11918400,894
11919000,894
11919600,894
11920200,894
11920800,894
11921400,894
11922000,894
11922600,894
11923200,894
11923800,894
11924400,894
11925000,894
11925600,894
11926200,894
11926800,894
11927400,894
11928000,894
11928600,894
11929200,894
11929800,894
11930400,894
11931000,894
11931600,894
11932200,894
11932800,894
11933400,894
11934000,894
11934600,894
11935200,894
11935800,894
11936400,894
11937000,894
11937600,894
11938200,894
11938800,894
11939400,894
11940000,894
11940600,894
11941200,894
11941800,894
11942400,894
11943000,894
11943600,894
11944200,894
11944800,894
11945400,894
11946000,894
11946600,894
11947200,894
11947800,894
11948400,894
11949000,894
11949600,894
11950200,894
11950800,894
11951400,894
11952000,894
11952600,894
11953200,894
11953800,894
11954400,894
11955000,894
11955600,894
11956200,894
11956800,894
11957400,894
11958000,894
11958600,894
11959200,894
11959800,894
11960400,894
11961000,894
11961600,894
11962200,894
11962800,894
11963400,894
11964000,894
11964600,894
11965200,894
11965800,894
11966400,894
11967000,894
11967600,894
11968200,894
11968800,894
11969400,894
11970000,894
11970600,894
11971200,894
11971800,894
11972400,894
11973000,894
11973600,894
11974200,894
11974800,894
11975400,894
11976000,894
11976600,894
11977200,894
11977800,894
11978400,894
11979000,894
11979600,894
11980200,894
11980800,894
11981400,894
11982000,894
11982600,894
11983200,894
11983800,894
11984400,894
11985000,894
11985600,894
11986200,894
11986800,894
11987400,894
11988000,894
11988600,894
11989200,894
11989800,894
11990400,894
11991000,894
11991600,894
11992200,894
11992800,894
11993400,894
11994000,894
11994600,894
11995200,894
11995800,894
11996400,894
11997000,894
11997600,894
11998200,894
11998800,894
11999400,894
12000000,894
12000600,894
12001200,894
12001800,894
12002400,894
12003000,894
12003600,894
12004200,894
12004800,894
12005400,894
12006000,894
12006600,894
12007200,894
12007800,894
12008400,894
12009000,894
12009600,894
12010200,894
12010800,894
12011400,894
12012000,894
12012600,894
12013200,894
12013800,894
12014400,894
12015000,894
12015600,894
12016200,894
12016800,894
12017400,894
12018000,894
12018600,894
12019200,894
12019800,894
12020400,894
12021000,894
12021600,894
12022200,894
12022800,894
12023400,894
12024000,894
12024600,894
12025200,894
12025800,894
12026400,894
12027000,894
12027600,894
12028200,894
12028800,894
12029400,894
12030000,894
12030600,894
12031200,894
12031800,894
12032400,894
12033000,894
12033600,894
12034200,894
12034800,894
12035400,894
12036000,894
12036600,894
12037200,894
12037800,894
12038400,894
12039000,894
12039600,894
12040200,894
12040800,894
12041400,894
12042000,894
12042600,894
12043200,894
12043800,894
12044400,894
12045000,894
12045600,894
12046200,894
12046800,894
12047400,894
12048000,894
12048600,894
12049200,894
12049800,894
12050400,894
12051000,894
12051600,894
12052200,894
12052800,894
12053400,894
12054000,894
12054600,894
12055200,894
12055800,894
12056400,894
12057000,894
12057600,894
12058200,894
12058800,894
12059400,894
12060000,894
12060600,894
12061200,894
12061800,894
12062400,894
12063000,894
12063600,894
12064200,894
12064800,894
12065400,894
12066000,894
12066600,894
12067200,894
12067800,894
12068400,894
12069000,894
12069600,894
12070200,894
12070800,894
12071400,894
12072000,894
12072600,894
12073200,894
12073800,894
12074400,894
12075000,894
12075600,894
12076200,894
12076800,894
12077400,894
12078000,894
12078600,894
12079200,894
12079800,894
12080400,894
12081000,894
12081600,894
12082200,894
12082800,894
12083400,894
12084000,894
12084600,894
12085200,894
12085800,894
12086400,894
12087000,894
12087600,894
12088200,894
12088800,894
12089400,894
12090000,894
12090600,894
12091200,894
12091800,894
12092400,894
12093000,894
12093600,894
12094200,894
12094800,894
12095400,894
12096000,894
12096600,894
12097200,894
12097800,894
12098400,894
12099000,894
12099600,894
12100200,894
12100800,894
12101400,894
12102000,894
12102600,894
12103200,894
12103800,894
12104400,894
12105000,894
12105600,894
12106200,894
12106800,894
12107400,894
12108000,894
12108600,894
12109200,894
12109800,894
12110400,894
12111000,894
12111600,894
12112200,894
12112800,894
12113400,894
12114000,894
12114600,894
12115200,894
12115800,894
12116400,894
12117000,894
12117600,894
12118200,894
12118800,894
12119400,894
12120000,894
12120600,894
12121200,894
12121800,894
12122400,894
12123000,894
12123600,894
12124200,894
12124800,894
12125400,894
12126000,894
12126600,894
12127200,894
12127800,894
12128400,894
12129000,894
12129600,894
12130200,894
12130800,894
12131400,894
12132000,894
12132600,894
12133200,894
12133800,894
12134400,894
12135000,894
12135600,894
12136200,894
12136800,894
12137400,894
12138000,894
12138600,894
12139200,894
12139800,894
12140400,894
12141000,894
12141600,894
12142200,894
12142800,894
12143400,894
12144000,894
12144600,894
12145200,894
12145800,894
12146400,894
12147000,894
12147600,894
12148200,894
12148800,894
12149400,894
12150000,894
12150600,894
12151200,894
12151800,894
12152400,894
12153000,894
12153600,894
12154200,894
12154800,894
12155400,894
12156000,894
12156600,894
12157200,894
12157800,894
12158400,894
12159000,894
12159600,894
12160200,894
12160800,894
12161400,894
12162000,894
12162600,894
12163200,894
12163800,894
12164400,894
12165000,894
12165600,894
12166200,894
12166800,894
12167400,894
12168000,894
12168600,894
12169200,894
12169800,894
12170400,894
12171000,894
12171600,894
12172200,894
12172800,894
12173400,894
12174000,894
12174600,894
12175200,894
12175800,894
12176400,894
12177000,894
12177600,894
12178200,894
12178800,894
12179400,894
12180000,894
12180600,894
12181200,894
12181800,894
12182400,894
12183000,894
12183600,894
12184200,894
12184800,894
12185400,894
12186000,894
12186600,894
12187200,894
12187800,894
12188400,894
12189000,894
12189600,894
12190200,894
12190800,894
12191400,894
12192000,894
12192600,894
12193200,894
12193800,894
12194400,894
12195000,894
12195600,894
12196200,894
12196800,894
12197400,894
12198000,894
12198600,894
12199200,894
12199800,894
12200400,894
12201000,894
12201600,894
12202200,894
12202800,894
12203400,894
12204000,894
12204600,894
12205200,894
12205800,894
12206400,894
12207000,894
12207600,894
12208200,894
12208800,894
12209400,894
12210000,894
12210600,894
12211200,894
12211800,894
12212400,894
12213000,894
12213600,894
12214200,894
12214800,894
12215400,894
12216000,894
12216600,894
12217200,894
12217800,894
12218400,894
12219000,894
12219600,894
12220200,894
12220800,894
12221400,894
12222000,894
12222600,894
12223200,894
12223800,894
12224400,894
12225000,894
12225600,894
12226200,894
12226800,894
12227400,894
12228000,894
12228600,894
12229200,894
12229800,894
12230400,894
12231000,894
12231600,894
12232200,894
12232800,894
12233400,894
12234000,894
12234600,894
12235200,894
12235800,894
12236400,894
12237000,894
12237600,894
12238200,894
12238800,894
12239400,894
12240000,894
12240600,894
12241200,894
12241800,894
12242400,894
12243000,894
12243600,894
12244200,894
12244800,894
12245400,894
12246000,894
12246600,894
12247200,894
12247800,894
12248400,894
12249000,894
12249600,894
12250200,894
12250800,894
12251400,894
12252000,894
12252600,894
12253200,894
12253800,894
12254400,894
12255000,894
12255600,894
12256200,894
12256800,894
12257400,894
12258000,894
12258600,894
12259200,894
12259800,894
12260400,894
12261000,894
12261600,894
12262200,894
12262800,894
12263400,894
12264000,894
12264600,894
12265200,894
12265800,894
12266400,894
12267000,894
12267600,894
12268200,894
12268800,894
12269400,894
12270000,894
12270600,894
12271200,894
12271800,894
12272400,894
12273000,894
12273600,894
12274200,894
12274800,894
12275400,894
12276000,894
12276600,894
12277200,894
12277800,894
12278400,894
12279000,894
12279600,894
12280200,894
12280800,894
12281400,894
12282000,894
12282600,894
12283200,894
12283800,894
12284400,894
12285000,894
12285600,894
12286200,894
12286800,894
12287400,894
12288000,894
12288600,894
12289200,894
12289800,894
12290400,894
12291000,894
12291600,894
12292200,894
12292800,894
12293400,894
12294000,894
12294600,894
12295200,894
12295800,894
12296400,894
12297000,894
12297600,894
12298200,894
12298800,894
12299400,894
12300000,894
12300600,894
12301200,894
12301800,894
12302400,894
12303000,894
12303600,894
12304200,894
12304800,894
12305400,894
12306000,894
12306600,894
12307200,894
12307800,894
12308400,894
12309000,894
12309600,894
12310200,894
12310800,894
12311400,894
12312000,894
12312600,894
12313200,894
12313800,894
12314400,894
12315000,894
12315600,894
12316200,894
12316800,894
12317400,894
12318000,894
12318600,894
12319200,894
12319800,894
12320400,894
12321000,894
12321600,894
12322200,894
12322800,894
12323400,894
12324000,894
12324600,894
12325200,894
12325800,894
12326400,894
12327000,894
12327600,894
12328200,894
12328800,894
12329400,894
12330000,894
12330600,894
12331200,894
12331800,894
12332400,894
12333000,894
12333600,894
12334200,894
12334800,894
12335400,894
12336000,894
12336600,894
12337200,894
12337800,894
12338400,894
12339000,894
12339600,894
12340200,894
12340800,894
12341400,894
12342000,894
12342600,894
12343200,894
12343800,894
12344400,894
12345000,894
12345600,894
12346200,894
12346800,894
12347400,894
12348000,894
12348600,894
12349200,894
12349800,894
12350400,894
12351000,894
12351600,894
12352200,894
12352800,894
12353400,894
12354000,894
12354600,894
12355200,894
12355800,894
12356400,894
12357000,894
12357600,894
12358200,894
12358800,894
12359400,894
12360000,894
12360600,894
12361200,894
12361800,894
12362400,894
12363000,894
12363600,894
12364200,894
12364800,894
12365400,894
12366000,894
12366600,894
12367200,894
12367800,894
12368400,894
12369000,894
12369600,894
12370200,894
12370800,894
12371400,894
12372000,894
12372600,894
12373200,894
12373800,894
12374400,894
12375000,894
12375600,894
12376200,894
12376800,894
12377400,894
12378000,894
12378600,894
12379200,894
12379800,894
12380400,894
12381000,894
12381600,894
12382200,894
12382800,894
12383400,894
12384000,894
12384600,894
12385200,894
12385800,894
12386400,894
12387000,894
12387600,894
12388200,894
12388800,894
12389400,894
12390000,894
12390600,894
12391200,894
12391800,894
12392400,894
12393000,894
12393600,894
12394200,894
12394800,894
12395400,894
12396000,894
12396600,894
12397200,894
12397800,894
12398400,894
12399000,894
12399600,894
12400200,894
12400800,894
12401400,894
12402000,894
12402600,894
12403200,894
12403800,894
12404400,894
12405000,894
12405600,894
12406200,894
12406800,894
12407400,894
12408000,894
12408600,894
12409200,894
12409800,894
12410400,894
12411000,894
12411600,894
12412200,894
12412800,894
12413400,894
12414000,894
12414600,894
12415200,894
12415800,894
12416400,894
12417000,894
12417600,894
12418200,894
12418800,894
12419400,894
12420000,894
12420600,894
12421200,894
12421800,894
12422400,894
12423000,894
12423600,894
12424200,894
12424800,894
12425400,894
12426000,894
12426600,894
12427200,894
12427800,894
12428400,894
12429000,894
12429600,894
12430200,894
12430800,894
12431400,894
12432000,894
12432600,894
12433200,894
12433800,894
12434400,894
12435000,894
12435600,894
12436200,894
12436800,894
12437400,894
12438000,894
12438600,894
12439200,894
12439800,894
12440400,894
12441000,894
12441600,894
12442200,894
12442800,894
12443400,894
12444000,894
12444600,894
12445200,894
12445800,894
12446400,894
12447000,894
12447600,894
12448200,894
12448800,894
12449400,894
12450000,894
12450600,894
12451200,894
12451800,894
12452400,894
12453000,894
12453600,894
12454200,894
12454800,894
12455400,894
12456000,894
12456600,894
12457200,894
12457800,894
12458400,894
12459000,894
12459600,894
12460200,894
12460800,894
12461400,894
12462000,894
12462600,894
12463200,894
12463800,894
12464400,894
12465000,894
12465600,894
12466200,894
12466800,894
12467400,894
12468000,894
12468600,894
12469200,894
12469800,894
12470400,894
12471000,894
12471600,894
12472200,894
12472800,894
12473400,894
12474000,894
12474600,894
12475200,894
12475800,894
12476400,894
12477000,894
12477600,894
12478200,894
12478800,894
12479400,894
12480000,894
12480600,894
12481200,894
12481800,894
12482400,894
12483000,894
12483600,894
12484200,894
12484800,894
12485400,894
12486000,894
12486600,894
12487200,894
12487800,894
12488400,894
12489000,894
12489600,894
12490200,894
12490800,894
12491400,894
12492000,894
12492600,894
12493200,894
12493800,894
12494400,894
12495000,894
12495600,894
12496200,894
12496800,894
12497400,894
12498000,894
12498600,894
12499200,894
12499800,894
12500400,894
12501000,894
12501600,894
12502200,894
12502800,894
12503400,894
12504000,894
12504600,894
12505200,894
12505800,894
12506400,894
12507000,894
12507600,894
12508200,894
12508800,894
12509400,894
12510000,894
12510600,894
12511200,894
12511800,894
12512400,894
12513000,894
12513600,894
12514200,894
12514800,894
12515400,894
12516000,894
12516600,894
12517200,894
12517800,894
12518400,894
12519000,894
12519600,894
12520200,894
12520800,894
12521400,894
12522000,894
12522600,894
12523200,894
12523800,894
12524400,894
12525000,894
12525600,894
12526200,894
12526800,894
12527400,894
12528000,894
12528600,894
12529200,894
12529800,894
12530400,894
12531000,894
12531600,894
12532200,894
12532800,894
12533400,894
12534000,894
12534600,894
12535200,894
12535800,894
12536400,894
12537000,894
12537600,894
12538200,894
12538800,894
12539400,894
12540000,894
12540600,894
12541200,894
12541800,894
12542400,894
12543000,894
12543600,894
12544200,894
12544800,894
12545400,894
12546000,894
12546600,894
12547200,894
12547800,894
12548400,894
12549000,894
12549600,894
12550200,894
12550800,894
12551400,894
12552000,894
12552600,894
12553200,894
12553800,894
12554400,894
12555000,894
12555600,894
12556200,894
12556800,894
12557400,894
12558000,894
12558600,894
12559200,894
12559800,894
12560400,894
12561000,894
12561600,894
12562200,894
12562800,894
12563400,894
12564000,894
12564600,894
12565200,894
12565800,894
12566400,894
12567000,894
12567600,894
12568200,894
12568800,894
12569400,894
12570000,894
12570600,894
12571200,894
12571800,894
12572400,894
12573000,894
12573600,894
12574200,894
12574800,894
12575400,894
12576000,894
12576600,894
12577200,894
12577800,894
12578400,894
12579000,894
12579600,894
12580200,894
12580800,894
12581400,894
12582000,894
12582600,894
12583200,894
12583800,894
12584400,894
12585000,894
12585600,894
12586200,894
12586800,894
12587400,894
12588000,894
12588600,894
12589200,894
12589800,894
12590400,894
12591000,894
12591600,894
12592200,894
12592800,894
12593400,894
12594000,894
12594600,894
12595200,894
12595800,894
12596400,894
12597000,894
12597600,894
12598200,894
12598800,894
12599400,894
12600000,894
12600600,894
12601200,894
12601800,894
12602400,894
12603000,894
12603600,894
12604200,894
12604800,894
12605400,894
12606000,894
12606600,894
12607200,894
12607800,894
12608400,894
12609000,894
12609600,894
12610200,894
12610800,894
12611400,894
12612000,894
12612600,894
12613200,894
12613800,894
12614400,894
12615000,894
12615600,894
12616200,894
12616800,894
12617400,894
12618000,894
12618600,894
12619200,894
12619800,894
12620400,894
12621000,894
12621600,894
12622200,894
12622800,894
12623400,894
12624000,894
12624600,894
12625200,894
12625800,894
12626400,894
12627000,894
12627600,894
12628200,894
12628800,894
12629400,894
12630000,894
12630600,894
12631200,894
12631800,894
12632400,894
12633000,894
12633600,894
12634200,894
12634800,894
12635400,894
12636000,894
12636600,894
12637200,894
12637800,894
12638400,894
12639000,894
12639600,894
12640200,894
12640800,894
12641400,894
12642000,894
12642600,894
12643200,894
12643800,894
12644400,894
12645000,894
12645600,894
12646200,894
12646800,894
12647400,894
12648000,894
12648600,894
12649200,894
12649800,894
12650400,894
12651000,894
12651600,894
12652200,894
12652800,894
12653400,894
12654000,894
12654600,894
12655200,894
12655800,894
12656400,894
12657000,894
12657600,894
12658200,894
12658800,894
12659400,894
12660000,894
12660600,894
12661200,894
12661800,894
12662400,894
12663000,894
12663600,894
12664200,894
12664800,894
12665400,894
12666000,894
12666600,894
12667200,894
12667800,894
12668400,894
12669000,894
12669600,894
12670200,894
12670800,894
12671400,894
12672000,894
12672600,894
12673200,894
12673800,894
12674400,894
12675000,894
12675600,894
12676200,894
12676800,894
12677400,894
12678000,894
12678600,894
12679200,894
12679800,894
12680400,894
12681000,894
12681600,894
12682200,894
12682800,894
12683400,894
12684000,894
12684600,894
12685200,894
12685800,894
12686400,894
12687000,894
12687600,894
12688200,894
12688800,894
12689400,894
12690000,894
12690600,894
12691200,894
12691800,894
12692400,894
12693000,894
12693600,894
12694200,894
12694800,894
12695400,894
12696000,894
12696600,894
12697200,894
12697800,894
12698400,894
12699000,894
12699600,894
12700200,894
12700800,894
12701400,894
12702000,894
12702600,894
12703200,894
12703800,894
12704400,894
12705000,894
12705600,894
12706200,894
12706800,894
12707400,894
12708000,894
12708600,894
12709200,894
12709800,894
12710400,894
12711000,894
12711600,894
12712200,894
12712800,894
12713400,894
12714000,894
12714600,894
12715200,894
12715800,894
12716400,894
12717000,894
12717600,894
12718200,894
12718800,894
12719400,894
12720000,894
12720600,894
12721200,894
12721800,894
12722400,894
12723000,894
12723600,894
12724200,894
12724800,894
12725400,894
12726000,894
12726600,894
12727200,894
12727800,894
12728400,894
12729000,894
12729600,894
12730200,894
12730800,894
12731400,894
12732000,894
12732600,894
12733200,894
12733800,894
12734400,894
12735000,894
12735600,894
12736200,894
12736800,894
12737400,894
12738000,894
12738600,894
12739200,894
12739800,894
12740400,894
12741000,894
12741600,894
12742200,894
12742800,894
12743400,894
12744000,894
12744600,894
12745200,894
12745800,894
12746400,894
12747000,894
12747600,894
12748200,894
12748800,894
12749400,894
12750000,894
12750600,894
12751200,894
12751800,894
12752400,894
12753000,894
12753600,894
12754200,894
12754800,894
12755400,894
12756000,894
12756600,894
12757200,894
12757800,894
12758400,894
12759000,894
12759600,894
12760200,894
12760800,894
12761400,894
12762000,894
12762600,894
12763200,894
12763800,894
12764400,894
12765000,894
12765600,894
12766200,894
12766800,894
12767400,894
12768000,894
12768600,894
12769200,894
12769800,894
12770400,894
12771000,894
12771600,894
12772200,894
12772800,894
12773400,894
12774000,894
12774600,894
12775200,894
12775800,894
12776400,894
12777000,894
12777600,894
12778200,894
12778800,894
12779400,894
12780000,894
12780600,894
12781200,894
12781800,894
12782400,894
12783000,894
12783600,894
12784200,894
12784800,894
12785400,894
12786000,894
12786600,894
12787200,894
12787800,894
12788400,894
12789000,894
12789600,894
12790200,894
12790800,894
12791400,894
12792000,894
12792600,894
12793200,894
12793800,894
12794400,894
12795000,894
12795600,894
12796200,894
12796800,894
12797400,894
12798000,894
12798600,894
12799200,894
12799800,894
12800400,894
12801000,894
12801600,894
12802200,894
12802800,894
12803400,894
12804000,894
12804600,894
12805200,894
12805800,894
12806400,894
12807000,894
12807600,894
12808200,894
12808800,894
12809400,894
12810000,894
12810600,894
12811200,894
12811800,894
12812400,894
12813000,894
12813600,894
12814200,894
12814800,894
12815400,894
12816000,894
12816600,894
12817200,894
12817800,894
12818400,894
12819000,894
12819600,894
12820200,894
12820800,894
12821400,894
12822000,894
12822600,894
12823200,894
12823800,894
12824400,894
12825000,894
12825600,894
12826200,894
12826800,894
12827400,894
12828000,894
12828600,894
12829200,894
12829800,894
12830400,894
12831000,894
12831600,894
12832200,894
12832800,894
12833400,894
12834000,894
12834600,894
12835200,894
12835800,894
12836400,894
12837000,894
12837600,894
12838200,894
12838800,894
12839400,894
12840000,894
12840600,894
12841200,894
12841800,894
12842400,894
12843000,894
12843600,894
12844200,894
12844800,894
12845400,894
12846000,894
12846600,894
12847200,894
12847800,894
12848400,894
12849000,894
12849600,894
12850200,894
12850800,894
12851400,894
12852000,894
12852600,894
12853200,894
12853800,894
12854400,894
12855000,894
12855600,894
12856200,894
12856800,894
12857400,894
12858000,894
12858600,894
12859200,894
12859800,894
12860400,894
12861000,894
12861600,894
12862200,894
12862800,894
12863400,894
12864000,894
12864600,894
12865200,894
12865800,894
12866400,894
12867000,894
12867600,894
12868200,894
12868800,894
12869400,894
12870000,894
12870600,894
12871200,894
12871800,894
12872400,894
12873000,894
12873600,894
12874200,894
12874800,894
12875400,894
12876000,894
12876600,894
12877200,894
12877800,894
12878400,894
12879000,894
12879600,894
12880200,894
12880800,894
12881400,894
12882000,894
12882600,894
12883200,894
12883800,894
12884400,894
12885000,894
12885600,894
12886200,894
12886800,894
12887400,894
12888000,894
12888600,894
12889200,894
12889800,894
12890400,894
12891000,894
12891600,894
12892200,894
12892800,894
12893400,894
12894000,894
12894600,894
12895200,894
12895800,894
12896400,894
12897000,894
12897600,894
12898200,894
12898800,894
12899400,894
12900000,894
12900600,894
12901200,894
12901800,894
12902400,894
12903000,894
12903600,894
12904200,894
12904800,894
12905400,894
12906000,894
12906600,894
12907200,894
12907800,894
12908400,894
12909000,894
12909600,894
12910200,894
12910800,894
12911400,894
12912000,894
12912600,894
12913200,894
12913800,894
12914400,894
12915000,894
12915600,894
12916200,894
12916800,894
12917400,894
12918000,894
12918600,894
12919200,894
12919800,894
12920400,894
12921000,894
12921600,894
12922200,894
12922800,894
12923400,894
12924000,894
12924600,894
12925200,894
12925800,894
12926400,894
12927000,894
12927600,894
12928200,894
12928800,894
12929400,894
12930000,894
12930600,894
12931200,894
12931800,894
12932400,894
12933000,894
12933600,894
12934200,894
12934800,894
12935400,894
12936000,894
12936600,894
12937200,894
12937800,894
12938400,894
12939000,894
12939600,894
12940200,894
12940800,894
12941400,894
12942000,894
12942600,894
12943200,894
12943800,894
12944400,894
12945000,894
12945600,894
12946200,894
12946800,894
12947400,894
12948000,894
12948600,894
12949200,894
12949800,894
12950400,894
12951000,894
12951600,894
12952200,894
12952800,894
12953400,894
12954000,894
12954600,894
12955200,894
12955800,894
12956400,894
12957000,894
12957600,894
12958200,894
12958800,894
12959400,894
12960000,894
12960600,894
12961200,894
12961800,894
12962400,894
12963000,894
12963600,894
12964200,894
12964800,894
12965400,894
12966000,894
12966600,894
12967200,894
12967800,894
12968400,894
12969000,894
12969600,894
12970200,894
12970800,894
12971400,894
12972000,894
12972600,894
12973200,894
12973800,894
12974400,894
12975000,894
12975600,894
12976200,894
12976800,894
12977400,894
12978000,894
12978600,894
12979200,894
12979800,894
12980400,894
12981000,894
12981600,894
12982200,894
12982800,894
12983400,894
12984000,894
12984600,894
12985200,894
12985800,894
12986400,894
12987000,894
12987600,894
12988200,894
12988800,894
12989400,894
12990000,894
12990600,894
12991200,894
12991800,894
12992400,894
12993000,894
12993600,894
12994200,894
12994800,894
12995400,894
12996000,894
12996600,894
12997200,894
12997800,894
12998400,894
12999000,894
12999600,894
13000200,894
13000800,894
13001400,894
13002000,894
13002600,894
13003200,894
13003800,894
13004400,894
13005000,894
13005600,894
13006200,894
13006800,894
13007400,894
13008000,894
13008600,894
13009200,894
13009800,894
13010400,894
13011000,894
13011600,894
13012200,894
13012800,894
13013400,894
13014000,894
13014600,894
13015200,894
13015800,894
13016400,894
13017000,894
13017600,894
13018200,894
13018800,894
13019400,894
13020000,894
13020600,894
13021200,894
13021800,894
13022400,894
13023000,894
13023600,894
13024200,894
13024800,894
13025400,894
13026000,894
13026600,894
13027200,894
13027800,894
13028400,894
13029000,894
13029600,894
13030200,894
13030800,894
13031400,894
13032000,894
13032600,894
13033200,894
13033800,894
13034400,894
13035000,894
13035600,894
13036200,894
13036800,894
13037400,894
13038000,894
13038600,894
13039200,894
13039800,894
13040400,894
13041000,894
13041600,894
13042200,894
13042800,894
13043400,894
13044000,894
13044600,894
13045200,894
13045800,894
13046400,894
